,run_name_prefix,scen,year,country,variable,value
0,H2G_A,0.1MtH2export,2035,CD,H2 export bus,0.2528992180294986
8,H2G_A,0.1MtH2export,2035,EG,H2 export bus,99.97970333190142
16,H2G_A,0.1MtH2export,2035,ET,H2 export bus,0.8651227264230433
24,H2G_A,0.1MtH2export,2035,KE,H2 export bus,68.9486948424012
32,H2G_A,0.1MtH2export,2035,MA,H2 export bus,51.38180605928615
40,H2G_A,0.1MtH2export,2035,NA,H2 export bus,86.77888154091825
48,H2G_A,0.1MtH2export,2035,TN,H2 export bus,95.43819979050548
56,H2G_A,0.4MtH2export,2035,CD,H2 export bus,0.606689359729421
64,H2G_A,0.4MtH2export,2035,EG,H2 export bus,100.18672111778962
72,H2G_A,0.4MtH2export,2035,ET,H2 export bus,0.865122728572607
80,H2G_A,0.4MtH2export,2035,KE,H2 export bus,84.64629795978509
88,H2G_A,0.4MtH2export,2035,MA,H2 export bus,82.78346581212055
96,H2G_A,0.4MtH2export,2035,NA,H2 export bus,97.80866842891496
104,H2G_A,0.4MtH2export,2035,TN,H2 export bus,96.2429025113186
112,H2G_A,0.7MtH2export,2035,CD,H2 export bus,0.6066893601478881
120,H2G_A,0.7MtH2export,2035,EG,H2 export bus,100.37919642738484
128,H2G_A,0.7MtH2export,2035,ET,H2 export bus,0.8651227284837354
136,H2G_A,0.7MtH2export,2035,KE,H2 export bus,88.54032815075622
144,H2G_A,0.7MtH2export,2035,MA,H2 export bus,94.26358042552071
152,H2G_A,0.7MtH2export,2035,NA,H2 export bus,97.82619699034407
160,H2G_A,0.7MtH2export,2035,TN,H2 export bus,96.63393571984588
